contrib_score,target_salary
1,710000.0
1,710000.0
0,700000.0
1,700000.0
1,680000.0
1,680000.0
1,660000.0
1,660000.0
1,660000.0
1,640000.0
1,640000.0
1,630000.0
1,620000.0
0,620000.0
1,600000.0
1,600000.0
1,600000.0
1,600000.0
1,4258800.0
1,4258800.0
1,4258800.0
1,4258800.0
0,600000.0
0,600000.0
1,600000.0
0,600000.0
0,600000.0
1,600000.0
1,600000.0
1,600000.0
1,600000.0
1,600000.0
1,600000.0
1,590000.0
0,580000.0
0,580000.0
1,580000.0
0,570000.0
0,570000.0
0,570000.0
1,560000.0
0,560000.0
1,560000.0
1,560000.0
1,560000.0
1,560000.0
0,550000.0
1,540000.0
0,540000.0
0,540000.0
1,540000.0
1,540000.0
0,540000.0
0,540000.0
1,540000.0
1,540000.0
1,520000.0
0,520000.0
0,520000.0
1,520000.0
0,490000.0
1,490000.0
0,480000.0
1,480000.0
0,480000.0
1,480000.0
1,480000.0
1,470000.0
0,470000.0
0,470000.0
0,460000.0
1,460000.0
0,450000.0
1,450000.0
1,450000.0
0,450000.0
1,450000.0
1,450000.0
0,440000.0
1,440000.0
1,430000.0
0,430000.0
1,420000.0
1,420000.0
0,420000.0
0,420000.0
1,420000.0
1,420000.0
1,420000.0
1,420000.0
1,420000.0
1,410000.0
1,400000.0
0,400000.0
1,390000.0
0,390000.0
1,390000.0
1,390000.0
1,390000.0
0,390000.0
0,390000.0
1,390000.0
1,380000.0
1,380000.0
1,380000.0
1,380000.0
0,370000.0
0,370000.0
0,370000.0
0,360000.0
0,360000.0
0,360000.0
1,360000.0
1,360000.0
1,360000.0
1,360000.0
1,350000.0
0,350000.0
1,350000.0
1,340000.0
0,330000.0
0,320000.0
1,320000.0
1,300000.0
1,300000.0
1,300000.0
1,300000.0
1,300000.0
1,300000.0
0,300000.0
1,290000.0
1,280000.0
1,280000.0
1,280000.0
1,280000.0
1,280000.0
1,608400.0
1,608400.0
1,608400.0
1,608400.0
0,280000.0
0,280000.0
0,270000.0
1,270000.0
1,270000.0
0,270000.0
1,270000.0
0,270000.0
1,270000.0
0,260000.0
0,250000.0
1,250000.0
1,250000.0
1,250000.0
0,250000.0
0,250000.0
1,240000.0
1,240000.0
1,240000.0
1,240000.0
1,230000.0
0,230000.0
0,210000.0
1,210000.0
1,210000.0
1,210000.0
1,200000.0
0,200000.0
1,200000.0
1,200000.0
0,200000.0
1,200000.0
1,190000.0
1,190000.0
1,190000.0
1,190000.0
1,190000.0
0,190000.0
1,180000.0
1,180000.0
1,180000.0
0,180000.0
1,180000.0
1,170000.0
1,160000.0
0,160000.0
1,160000.0
0,160000.0
1,150000.0
0,150000.0
0,150000.0
0,150000.0
0,150000.0
1,150000.0
0,150000.0
1,150000.0
0,150000.0
1,150000.0
1,150000.0
0,150000.0
1,130000.0
1,130000.0
1,130000.0
1,130000.0
1,130000.0
1,120000.0
1,120000.0
0,120000.0
1,120000.0
1,120000.0
1,120000.0
1,120000.0
1,110000.0
1,110000.0
0,110000.0
1,110000.0
0,110000.0
1,100000.0
1,90000.0
0,90000.0
1,90000.0
1,90000.0
1,90000.0
1,90000.0
0,80000.0
1,80000.0
0,80000.0
0,80000.0
1,80000.0
1,80000.0
1,70000.0
1,70000.0
0,70000.0
0,70000.0
0,70000.0
0,70000.0
1,70000.0
0,60000.0
0,60000.0
1,60000.0
0,60000.0
1,60000.0
0,60000.0
1,60000.0
1,60000.0
0,60000.0
0,60000.0
1,60000.0
1,60000.0
1,60000.0
1,60000.0
1,60000.0
0,60000.0
1,60000.0
1,60000.0
1,60000.0
1,60000.0
0,60000.0
0,50000.0
1,50000.0
1,50000.0
1,50000.0
1,50000.0
1,50000.0
1,50000.0
1,50000.0
1,50000.0
1,50000.0
1,40000.0
1,40000.0
1,40000.0
0,40000.0
0,40000.0
1,40000.0
1,30000.0
0,30000.0
1,30000.0
0,30000.0
1,30000.0
1,20000.0
1,20000.0
1,20000.0
1,20000.0
0,20000.0
0,20000.0
1,1216800.0
1,1216800.0
0,1216800.0
0,1216800.0
1,37500000.0
1,31250000.0
0,29500000.0
1,24380000.0
1,24000000.0
1,24000000.0
1,22500000.0
1,21880000.0
1,20830000.0
0,20830000.0
1,20830000.0
1,16000000.0
0,15000000.0
1,14580000.0
1,14580000.0
1,14580000.0
1,14580000.0
1,14580000.0
1,11863800.0
1,11863800.0
1,11863800.0
1,11863800.0
1,13950000.0
1,13550000.0
