Player,Touches,Att Pen,Att,Succ,Carries,TotDist,Mis,Dis,Rec
Vincenzo Grifo,1595,65,74,42,913,4875,42,28,1060
Lennart Grill,225,0,0,0,150,734,0,0,128
Christian Groß,1067,7,23,15,462,2134,18,8,520
Brajan Gruda,8,1,2,0,4,29,0,1,3
Ilia Gruev,956,6,10,5,488,2398,18,12,549
Carlos Gruezo,360,1,7,5,154,808,7,3,144
Raphaël Guerreiro,2028,68,47,27,1175,6066,28,18,1340
Josuha Guilavogui,949,10,5,3,523,2117,8,6,577
Serhou Guirassy,647,89,35,14,379,1676,53,20,525
Péter Gulácsi,225,0,0,0,142,625,0,0,119
Manuel Gulde,491,5,0,0,244,1154,4,1,295
Robert Gumny,1036,23,21,7,372,1687,17,13,412
Christian Günter,1583,49,16,10,726,3238,18,12,889
Joško Gvardiol,2369,22,18,16,1710,8087,9,6,1795
Janik Haberer,926,48,31,11,468,1930,36,19,540
Alexander Hack,735,13,2,2,344,1473,3,1,336
André Hahn,156,7,6,1,57,256,13,1,70
Amadou Haidara,980,7,12,9,561,2494,11,13,636
Sébastien Haller,417,68,16,9,203,788,18,15,305
Marcel Halstenberg,1330,21,17,10,717,3048,19,7,819
Andreas Hanche-Olsen,949,16,5,4,487,2295,12,6,489
Genki Haraguchi,381,9,15,9,238,1148,15,5,262
Genki Haraguchi,214,10,6,5,109,586,5,3,121
Makoto Hasebe,1131,0,0,0,713,3744,3,1,744
Thorgan Hazard,386,18,15,3,209,1019,7,0,223
Jonas Hector,2247,56,59,33,1125,5762,36,19,1226
Dominique Heintz,404,4,4,4,193,900,0,4,192
Benjamin Henrichs,1856,49,38,20,1076,4998,32,17,1156
Lucas Hernández,407,2,3,1,267,1151,1,0,302
Patrick Herrmann,150,15,4,0,75,371,1,4,85
Piero Hincapié,2112,28,31,14,1173,6019,21,9,1395
Adam Hložek,490,42,22,9,251,1125,43,22,356
Nicolas Höfler,1690,31,28,17,804,3733,33,13,896
Jonas Hofmann,1779,95,32,14,1019,5005,42,34,1217
Philipp Hofmann,992,117,21,9,403,1203,50,37,747
Lucas Höler,671,65,21,11,307,1432,29,14,468
Gerrit Holtmann,424,38,41,16,230,1900,31,16,272
Jannes Horn,27,0,0,0,11,49,0,0,12
Lukáš Hrádecký,1163,0,0,0,667,3717,3,0,549
Timo Hübers,2020,24,6,6,1146,5506,10,2,1217
Callum Hudson-Odoi,288,10,28,14,193,1610,7,14,240
Mats Hummels,1952,31,10,6,1236,6862,4,8,1310
Denis Huseinbasic,409,26,19,6,229,1208,24,18,241
Iago,948,26,38,15,365,2231,26,10,396
Arijon Ibrahimović,13,2,1,0,6,9,0,0,9
Marcus Ingvartsen,539,66,36,12,295,1308,54,19,402
Ko Itakura,1787,16,11,8,1175,5586,10,2,1335
Hiroki Ito,2367,11,12,5,1417,7044,21,6,1552
Andreas Ivan,14,0,1,0,8,35,0,1,10
Lee Jae-sung,1028,77,37,25,537,2426,44,25,649
Paul Jaeckel,748,4,9,7,426,1858,6,2,471
Kristijan Jakić,1129,14,15,8,578,2250,13,6,651
Saidy Janko,600,1,23,14,229,1615,18,10,265
Tony Jantschke,99,0,0,0,59,217,0,0,74
Fredrik Jensen,410,35,12,4,206,853,23,19,243
Moritz Jenz,614,14,2,1,317,1705,9,2,333
Stevan Jovetić,416,39,21,10,261,1182,21,9,323
Anthony Jung,1687,34,24,13,808,3566,30,17,966
Josip Juranović,553,10,11,7,216,996,6,3,224
Ozan Kabak,1588,26,30,15,899,4654,25,7,968
Pavel Kadeřábek,1024,39,13,3,438,2047,13,7,564
Florian Kainz,1496,45,82,33,812,4905,39,36,877
Sasa Kalajdzic,85,18,1,0,31,71,5,3,66
Daichi Kamada,1503,69,36,15,871,4152,32,24,1041
Jakub Kamiński,942,78,66,28,550,2883,57,32,606
Marcin Kamiński,380,4,1,1,171,643,4,1,191
Kevin Kampl,1016,4,12,9,652,3395,19,10,707
Wilfried Kanga,400,69,24,8,183,783,38,18,293
Kenan Karaman,339,42,39,11,206,1401,29,18,253
Atakan Karazor,1349,7,23,14,598,2253,20,17,783
Thomas Kastanaras,29,3,1,0,15,45,5,0,17
Silas Katompa,675,102,111,48,455,3712,68,44,469
Yannik Keitel,313,10,9,4,159,860,7,5,174
Marc-Oliver Kempf,1644,32,17,11,774,3738,14,7,808
Jonjoe Kenny,1477,12,23,12,661,2930,25,8,709
Rani Khedira,1308,19,18,10,561,2487,25,17,687
Luca Kilian,801,7,4,2,510,2877,4,3,528
Joshua Kimmich,3073,20,25,13,1762,8923,26,26,2065
Pascal Klemens,40,0,0,0,22,61,0,0,22
Lukas Klostermann,873,5,2,1,549,2340,3,4,634
Ansgar Knauff,879,43,63,22,410,2879,31,9,433
Robin Knoche,1965,23,13,11,1093,5352,15,7,1110
Gregor Kobel,1115,0,1,1,671,2981,1,0,613
Dominik Kohr,1447,32,22,10,680,2806,19,8,779
Randal Kolo Muani,1057,196,161,71,632,4510,108,65,824
Timothée Kolodziejczak,20,1,0,0,6,14,0,0,13
Manu Koné,1796,24,118,57,1164,6283,81,50,1268
Odilon Kossonou,1144,4,12,7,640,3415,16,13,716
Filip Kostić,45,3,3,1,23,172,0,1,23
Tomáš Koubek,546,0,0,0,321,1860,0,0,263
Soichiro Kozuki,157,16,16,6,98,615,9,8,106
Alex Král,1108,47,51,23,552,2960,30,21,600
Andrej Kramarić,1244,106,58,28,825,4203,61,33,945
Christoph Kramer,1482,41,48,21,772,3287,26,30,1013
Tom Krauß,1140,16,33,20,466,2630,26,31,431
Max Kruse,144,18,4,2,68,317,4,3,105
Lukas Kübler,1017,20,8,5,419,1778,13,2,515
Pierre Kunde,265,3,9,5,123,671,11,2,122
Alou Kuol,1,0,0,0,0,0,0,1,0
Daniel Kyereh,261,16,11,3,147,642,21,12,178
Maxence Lacroix,1298,9,8,7,777,3937,10,6,833
Aïssa Laïdouni,433,8,30,14,280,1145,22,8,267
Konrad Laimer,985,38,56,32,611,3339,35,22,645
Stefan Lainer,720,20,11,2,382,1792,12,4,477
Vassilis Lambropoulos,329,13,1,0,121,567,4,1,129
Jordan Larsson,173,12,13,4,91,508,4,7,106
Danny Latza,503,15,13,4,244,1080,7,8,282
Diogo Leite,1626,20,5,1,895,4279,20,10,962
Maxim Leitsch,405,2,1,0,203,957,5,1,225
Tim Lemperle,85,9,8,3,49,234,6,6,53
Christopher Lenz,966,19,14,11,465,2346,11,5,517
Jamie Leweling,123,18,25,5,87,727,14,8,89
Philipp Lienhart,1864,20,8,4,1126,7190,19,1,1206
Matthijs de Ligt,2322,39,4,0,1592,7491,11,3,1704
Dimitris Limnios,28,3,2,2,18,98,0,1,18
Jesper Lindstrøm,791,94,86,28,440,2951,65,34,507
Dejan Ljubicic,809,58,47,19,476,2683,39,16,530
Anthony Losilla,1286,39,20,9,410,1715,24,10,551
Dodi Lukebakio,979,103,141,67,644,5374,82,48,683
Andrey Lunyov,45,0,0,0,35,177,0,0,29
Arne Maier,862,38,37,16,418,2307,39,26,483
Linton Maina,932,99,68,22,597,5016,55,26,626
Donyell Malen,869,101,115,51,628,4019,38,40,715
Sadio Mané,622,130,53,24,410,2602,53,14,486
Myziane Maolida,26,3,4,2,21,109,3,5,20
Omar Marmoush,744,91,99,38,473,2737,75,42,562
Eric Martel,1196,35,13,7,595,2557,35,25,651
Aarón Martín,1192,14,21,10,582,2815,15,14,621
Erhan Mašović,1078,28,5,2,522,2209,10,3,541
Henning Matriciani,1089,6,15,6,475,2263,17,10,485
Konstantinos Mavropanos,1875,47,40,16,982,4958,31,5,1099
Philipp Max,541,16,7,3,275,1159,8,3,329
Eric Maxim Choupo-Moting,407,68,29,20,252,960,32,16,317
Keke Maximilian Topp,10,1,2,0,5,52,0,0,6
Ibrahim Maza,24,3,1,0,12,70,2,0,12
Noussair Mazraoui,977,27,27,18,569,2683,11,5,680
Noah Mbamba,0,0,0,0,0,0,0,0,0
Jean-Manuel Mbom,3,0,0,0,1,2,0,0,3
Nathanael Mbuku,12,1,0,0,5,45,2,1,4
Thomas Meunier,503,11,10,4,273,1150,8,5,306
Alexander Meyer,335,1,0,0,216,1193,0,0,186
Sven Michel,259,20,12,3,121,585,20,7,183
Enzo Millot,545,35,46,21,285,1785,18,13,354
Maximilian Mittelstädt,616,8,33,19,261,1789,12,9,253
Anthony Modeste,219,34,4,0,91,299,18,9,142
Tobias Mohr,594,13,7,4,263,1526,8,8,290
Clinton Mola,14,0,0,0,1,11,0,0,0
Florent Mollet,206,9,5,2,109,632,11,8,130
Youssoufa Moukoko,346,62,45,17,209,1111,30,20,215
Florian Müller,775,0,0,0,447,2237,0,0,419
Thomas Müller,1020,114,18,9,574,2013,49,20,791
Jamal Musiala,1401,144,152,77,1018,6027,79,70,1089
Marlon Mustapha,45,5,3,2,24,217,7,2,30
Obite N'Dicka,2159,25,10,6,1265,5821,18,5,1394
Nathan N'Goumou,308,27,27,7,168,1167,18,4,202
Stanley N'Soki,931,7,21,12,598,2708,14,4,601
Nikolas Nartey,340,4,8,4,163,718,4,9,205
Luca Netz,446,11,13,10,199,891,13,6,244
Manuel Neuer,528,2,0,0,338,1534,1,0,318
Florian Neuhaus,804,41,34,12,488,2184,22,14,597
Jessic Ngankam,233,34,28,10,139,781,26,18,152
Florian Niederlechner,332,39,20,5,142,487,16,11,189
Florian Niederlechner,249,32,22,11,108,453,11,6,146
Justin Njinmah,4,1,1,0,6,26,0,2,5
Christopher Nkunku,854,128,77,38,588,2929,45,38,672
Felix Nmecha,967,40,46,26,540,2356,41,13,615
Lukas Nmecha,317,34,26,10,189,1050,38,11,251
Hugo Novoa,135,11,10,5,71,460,1,7,86
Ørjan Nyland,103,0,0,0,78,422,0,0,60
Tim Oermann,69,0,0,0,32,179,1,0,38
Finn Ole Becker,262,9,9,4,124,686,5,5,128
Mathias Olesen,193,3,4,2,100,513,4,9,114
Dani Olmo,802,53,74,38,508,2620,45,30,599
Jan Olschowsky,177,0,0,0,83,528,0,0,79
Jonas Omlin,773,0,0,0,452,2122,0,0,459
Karim Onisiwo,978,157,104,37,571,3458,111,50,695
Willi Orban,3000,55,17,8,2032,9699,13,8,2167
Ivan Ordets,1335,66,3,2,531,1737,9,4,600
Jordi Osei-Tutu,350,21,24,10,189,1639,25,11,169
Patrick Osterhage,470,12,14,5,234,1086,17,12,248
Paulo Otávio,1507,29,47,22,744,3969,28,7,808
Thomas Ouwejan,604,9,5,1,238,1297,9,4,251
Reece Oxford,67,0,0,0,24,140,1,0,26
Salih Özcan,1171,7,12,6,663,2578,18,21,759
Levin Öztunalı,2,0,0,0,1,41,0,0,0
Exequiel Palacios,1430,16,16,10,745,2951,19,24,959
Miloš Pantović,108,7,1,0,52,184,3,2,62
Antonios Papadopoulos,21,1,0,0,14,97,0,0,17
Kevin Paredes,277,15,15,4,177,1090,9,4,180
Marco Pašalić,9,0,1,1,7,60,1,1,8
Felix Passlack,47,1,1,1,24,68,1,1,27
Paulinho,38,3,4,2,22,175,2,1,26
Benjamin Pavard,2699,47,6,0,1660,7436,11,2,1947
Jiří Pavlenka,1280,0,1,0,663,3880,1,0,521
Kristian Pedersen,215,2,7,2,86,482,1,1,100
Mads Pedersen,931,13,39,17,366,2427,34,14,366
Jordan Pefok,490,71,16,9,215,703,42,26,337
Dženan Pejčinović,1,1,0,0,0,0,0,0,1
Peter Pekarík,137,0,0,0,62,383,1,1,68
Luca Pellegrini,514,10,26,11,240,1188,7,5,267
Ricardo Pepi,40,2,5,3,19,144,4,0,22
Juan Perea,145,12,16,4,89,664,17,10,95
Nils Petersen,138,15,5,0,54,145,16,4,88
Lukas Petkov,62,7,4,1,20,97,6,3,26
Luca Pfeiffer,255,29,6,2,136,565,13,6,195
Maximilian Philipp,51,4,2,0,31,113,1,1,34
Maximilian Philipp,196,15,10,5,109,415,10,8,132
Amos Pieper,1448,22,3,1,751,3815,9,8,893
Marvin Plattenhardt,1445,7,18,3,557,2212,16,6,621
Alassane Pléa,947,57,31,16,568,2803,39,22,727
Joel Pohjanpalo,1,0,0,0,1,6,0,0,1
Sebastian Polter,230,43,4,2,107,373,26,11,168
Stefan Posch,12,0,0,0,6,23,0,0,7
Yussuf Poulsen,198,28,9,6,125,616,27,10,165
Grischa Prömel,652,39,14,5,329,1568,24,13,402
Tymoteusz Puchacz,44,0,2,0,21,82,4,0,24
Eduardo Quaresma,81,1,2,1,56,228,1,0,51
Joshua Quarshie,3,1,0,0,2,10,0,0,2
Diant Ramaj,28,0,0,0,18,95,0,0,8
Nicolai Rapp,68,3,1,0,33,134,0,0,39
David Raum,1367,34,34,8,721,3092,17,9,817
Rocco Reitz,2,0,0,0,2,10,0,0,2
Marco Reus,731,61,25,9,426,2098,29,16,510
Elvis Rexhbeçaj,1177,8,19,6,525,2654,35,13,584
Gio Reyna,420,46,23,8,274,1610,13,15,324
Marco Richter,1074,44,88,36,541,2789,57,34,553
Manuel Riemann,1879,1,0,0,1072,5772,1,0,887
Sebastian Rode,997,21,14,7,529,2380,12,6,688
Agustín Rogel,726,11,0,0,305,1300,12,0,349
Merlin Röhl,30,3,1,0,20,87,2,4,20
Tony Rölke,11,0,0,0,3,6,1,0,9
Tom Rothe,22,1,1,1,12,26,0,0,10
Jérôme Roussillon,11,0,1,0,7,21,2,2,7
Jérôme Roussillon,551,13,28,11,250,1206,12,8,271
Sebastian Rudy,547,4,3,0,247,1017,12,8,306
Georginio Rutter,338,67,71,34,235,1541,46,25,260
Julian Ryerson,627,12,38,18,292,1652,11,14,293
Julian Ryerson,1162,12,47,17,646,3311,18,18,723
Frederik Rønnow,1340,0,0,0,861,4709,0,0,727
Marcel Sabitzer,548,9,3,1,312,1283,6,3,368
Dikeni-Rafid Salifou,0,0,0,0,0,0,0,0,0
Roland Sallai,465,40,27,12,274,1435,21,10,328
Diadie Samassékou,23,0,1,1,9,39,0,0,13
Leroy Sané,1379,101,136,75,941,6150,60,60,1134
Sidi Sané,10,0,1,0,5,15,1,0,6
Bouna Sarr,2,0,0,0,0,0,0,0,0
Joe Scally,1373,20,28,11,704,3297,22,14,804
Kevin Schade,100,13,12,3,48,319,8,6,68
András Schäfer,391,14,32,9,203,1157,21,13,212
Derry Scherhant,101,7,16,6,62,283,8,8,65
Patrik Schick,358,48,16,7,195,697,28,13,298
Kingsley Schindler,699,25,22,8,345,1642,27,15,382
Xaver Schlager,1090,3,24,13,680,3392,21,14,734
Keven Schlotterbeck,11,0,0,0,2,3,0,0,2
Keven Schlotterbeck,437,18,1,0,157,700,4,3,167
Nico Schlotterbeck,2173,23,19,11,1342,6598,14,8,1510
Jonathan Schmid,34,2,1,1,10,39,1,0,18
Romano Schmid,948,34,47,16,540,2606,47,25,661
Kenneth Schmidt,208,0,3,2,120,725,5,0,144
Niklas Schmidt,718,19,46,33,432,2322,17,13,484
Benno Schmitz,1757,22,11,3,777,3363,24,8,915
Marvin Schwäbe,1457,0,0,0,940,4444,1,0,911
Alexander Schwolow,916,1,0,0,494,2288,0,0,443
Paul Seguin,417,11,14,7,219,1030,8,6,250
Davie Selke,108,12,4,1,54,260,8,4,82
Davie Selke,298,53,9,4,131,504,12,9,235
Suat Serdar,936,32,74,36,463,2623,35,32,465
Eniss Shabani,7,0,0,0,6,18,1,0,6
Kiliann Sildillia,1306,18,27,12,650,3159,21,15,693
André Silva,717,120,61,21,478,2386,65,43,556
Mohamed Simakan,1301,28,31,12,768,3765,22,6,869
Daley Sinkgraven,260,7,6,3,129,606,4,7,161
Tobias Sippel,272,0,0,0,141,635,0,0,147
Hugo Siquet,11,0,0,0,3,8,1,1,5
Tim Skarke,50,5,2,1,33,159,3,4,34
Tim Skarke,212,10,11,2,99,509,16,5,107
Ellyes Skhiri,2056,54,32,24,1123,6762,27,20,1263
Robert Skov,906,37,27,7,453,2377,21,11,481
Hrvoje Smolčić,432,4,2,2,231,1099,3,1,254
Danilo Soares,1251,2,22,8,507,2188,17,13,522
Nikola Soldo,421,7,3,0,236,1193,1,0,261
Yann Sommer,638,0,0,0,420,1803,0,0,405
Yann Sommer,779,0,2,2,525,2377,0,1,505
Borna Sosa,1630,20,33,17,890,4751,20,16,999
Djibril Sow,1810,25,21,11,1100,5055,24,16,1234
Anton Stach,1172,50,51,25,549,3090,45,16,655
Kostas Stafylidis,564,3,14,8,240,1139,11,3,267
Jens Stage,834,57,16,9,368,1523,25,11,485
Veit Stange,3,0,1,1,1,29,1,0,1
Josip Stanišić,689,5,9,5,452,2116,7,3,506
Niklas Stark,1516,11,2,2,839,4648,11,4,909
Pascal Stenzel,259,2,4,0,109,410,5,0,131
Angelo Stiller,466,11,7,3,226,951,15,11,266
Lars Stindl,980,47,22,8,552,2050,33,27,771
Kevin Stöger,1917,37,52,22,901,4339,43,35,1134
Niklas Süle,2031,40,10,9,1321,6298,10,8,1527
