Player,Touches,Att Pen,Att,Succ,Carries,TotDist,Mis,Dis,Rec
Rubén Quintanilla,3,0,0,0,1,10,0,0,2
Antonio Raillo,1413,34,3,2,706,4410,9,3,713
Predrag Rajković,1284,0,6,5,656,4514,2,0,458
Ivan Rakitić,1435,33,11,4,852,3733,24,13,1002
Largie Ramazani,486,51,68,32,315,2661,39,24,332
Chris Ramos,276,56,22,8,110,481,24,3,175
Raphinha,1596,131,106,45,999,5616,55,24,1148
Sergio Reguilón,178,10,6,3,101,758,5,3,115
Pepe Reina,900,0,1,1,541,2919,0,0,455
Reinier,329,20,17,9,210,1139,19,19,258
Karim Rekik,799,11,6,3,524,2405,7,5,569
Álex Remiro,1390,0,0,0,805,4485,2,0,650
Alejandro Revuelta Montero,1,0,0,0,0,0,0,0,0
Chadi Riad,1,0,0,0,1,8,0,0,1
Nico Ribaudo,625,39,53,20,389,2368,35,24,434
Diego Rico,1186,8,27,13,535,2659,24,10,627
Rodrigo Riquelme,1021,89,143,57,717,6218,62,30,764
Sergi Roberto,1051,31,13,5,658,2976,9,3,781
Lucas Robertone,1711,38,68,27,928,4923,44,19,1081
Joel Roca,69,5,14,5,46,248,4,2,47
Enzo Roco,891,15,5,3,474,2360,7,0,494
Rodri,1016,53,71,29,739,4148,35,20,826
Ángel Rodríguez,128,21,6,2,91,402,12,4,99
Óscar Rodríguez Arnaiz,1247,24,26,11,724,3192,24,15,873
Dani Rodríguez,950,42,55,28,559,3428,47,37,604
Guido Rodríguez,2064,18,35,22,1033,3909,17,21,1301
Miguel Rodríguez,132,13,13,3,89,520,6,4,89
Rodrygo,1400,204,169,81,1035,6613,64,30,1198
Leonardo Román,45,0,0,0,21,105,0,0,16
Iván Romero,5,0,0,0,4,19,1,1,4
Oriol Romeu,1952,28,24,20,1148,4448,26,28,1318
Rubén,473,21,24,12,224,1612,17,9,230
Antonio Rüdiger,1814,25,4,3,1216,5991,8,2,1339
Aitor Ruibal,1062,24,67,35,559,2936,24,13,597
Víctor Ruiz,315,4,0,0,167,877,1,0,183
Gerónimo Rulli,579,0,0,0,335,1591,0,0,283
Franco Russo,78,0,0,0,43,163,0,1,41
Youssouf Sabaly,1179,16,39,19,619,3101,25,25,671
Umar Sadiq,74,18,12,4,47,390,7,11,53
Umar Sadiq,26,2,3,2,16,62,6,2,21
Samuel Sáiz,192,7,10,4,131,713,10,4,154
Kike Salas,255,3,0,0,149,530,2,1,177
Salvi,254,18,9,3,139,920,9,6,162
Fede San Emeterio,834,8,5,2,392,1506,11,8,436
Oihan Sancet,1269,80,83,46,847,5286,82,61,981
Antonio Sánchez,602,16,26,12,349,2184,25,19,342
Iván Sánchez,616,26,63,36,449,3611,21,15,472
Javi Sánchez,1444,15,7,7,800,4466,7,4,906
Manu Sánchez,1385,43,41,16,689,3461,27,14,782
Esteban Saveljich,0,0,0,0,0,0,0,0,0
Stefan Savić,1317,6,5,4,777,3967,2,3,892
Manuel Sebastián,86,0,3,1,48,261,1,0,49
Haris Seferović,284,30,16,8,159,641,15,7,200
Jaime Seoane,155,2,5,2,84,434,4,6,94
David Silva,1378,78,47,19,881,4932,37,24,1045
Rui Silva,936,0,1,1,462,2369,0,0,360
Simo,79,0,0,0,46,241,0,2,47
Unai Simón,1007,0,0,0,598,3166,1,0,480
Rubén Sobrino,952,75,75,29,542,3550,56,42,579
Alex Sola,252,6,16,7,116,739,2,6,131
Augusto Solari,160,6,5,1,88,337,2,4,105
Carlos Soler,143,4,2,1,83,508,2,1,98
David Soria,1224,0,0,0,541,3493,0,0,291
Hugo Sotelo,24,0,0,0,20,52,0,0,24
Dyego Sousa,256,35,13,5,131,611,28,11,190
Vinicius Souza,1242,20,19,10,543,2552,30,13,614
Jørgen Strand Larsen,576,84,31,14,348,1327,74,24,438
Cristhian Stuani,281,56,4,0,137,406,23,6,193
Damián Suárez,1169,15,34,13,462,1781,23,6,542
Denis Suárez,541,12,28,19,311,2014,13,11,363
Mario Suárez,4,0,0,0,2,28,0,0,2
Suso,675,23,42,25,461,2714,17,19,521
Williot Swedberg,27,1,2,1,16,91,1,0,15
Alexander Sørloth,807,107,75,29,458,2843,84,61,591
Renato Tapia,993,9,19,11,582,2624,11,14,648
Aurélien Tchouaméni,1990,29,39,28,1291,6841,24,12,1533
Alex Telles,880,11,28,14,400,1946,11,1,461
Marc-André ter Stegen,1457,0,0,0,963,4887,1,1,851
Ramón Terrats,528,16,29,15,330,1561,23,11,399
Ramón Terrats,129,2,5,2,73,414,2,5,87
Raúl de Tomás,275,43,29,17,205,917,29,19,231
Pablo Torre,114,1,7,3,69,313,5,4,87
David Torres,254,1,1,1,152,599,4,0,176
Ferrán Torres,756,87,68,30,489,2748,48,23,598
Óliver Torres,1314,55,42,15,886,4102,34,47,980
Pau Torres,2495,32,35,26,1573,10882,22,4,1708
Roberto Torres,14,0,2,1,12,107,0,1,12
Lucas Torró,1459,32,21,11,631,2565,31,14,770
Nabil Touaizi,2,1,0,0,1,12,0,0,1
Óscar Trejo,1338,72,118,57,836,4598,66,92,995
Manu Trigueros,599,7,5,2,368,1430,7,9,487
Viktor Tsyhankov,737,49,31,17,463,3132,16,15,525
Beñat Turrientes,61,0,3,1,30,113,4,2,34
Enes Ünal,1117,138,43,21,618,2236,88,50,893
Oscar Ureña,41,4,5,4,28,150,4,4,29
Óscar Valentín,1501,17,20,7,762,4184,22,13,829
Martin Valjent,1405,5,5,0,719,3539,6,1,767
Jesús Vallejo,14,2,0,0,10,27,0,0,11
Manu Vallejo,110,8,4,1,67,341,3,4,85
Federico Valverde,1870,54,44,31,1190,6633,21,7,1485
Jesus Vazquez,231,7,16,6,132,701,9,4,125
Kevin Vázquez,269,2,2,2,125,533,1,4,145
Lucas Vázquez,1059,46,25,14,672,3060,20,7,771
Gabriel Veiga,1062,67,75,39,656,4140,64,22,694
Unai Vencedor Paris,149,4,2,1,76,343,4,4,94
Gonzalo Verdú,418,12,0,0,223,1075,3,0,251
Mikel Vesga,1800,32,18,10,962,4175,38,16,1152
Aleix Vidal,489,15,19,7,238,1219,15,7,250
Nacho Vidal,776,16,27,13,311,1420,18,13,363
Toni Villa,45,1,5,1,27,126,1,1,27
Toni Villa,486,44,71,24,323,2281,20,22,347
Asier Villalibre,27,7,0,0,14,48,0,2,22
Gonzalo Villar,312,5,20,13,176,1206,9,6,184
Iván Villar,630,0,0,0,318,1495,0,0,250
Daniel Vivian,1719,26,11,4,1028,5804,21,14,1039
Shon Weissman,160,25,5,2,76,283,22,7,91
Axel Werner,74,0,1,1,38,194,0,0,37
Iñaki Williams,1182,181,105,47,756,5180,73,42,915
Nico Williams,1382,148,200,83,891,7039,87,45,963
Axel Witsel,1521,18,7,6,949,4096,8,3,1059
Lamine Yamal,12,1,2,0,9,23,0,0,10
Jawad El Yamiq,1163,19,14,10,606,3424,14,5,660
Joseba Zaldúa,356,4,10,3,134,790,7,3,166
Oier Zarraga,447,12,7,5,271,1549,6,9,304
Igor Zubeldia,1772,10,8,8,1080,6177,6,1,1148
Martín Zubimendi,2090,18,24,9,1265,6896,23,17,1443
Igor Zubeldia,1983,18,8,4,1229,7537,14,3,1316
Martín Zubimendi,1793,32,18,12,942,5305,26,16,1185
James Abankwah,39,0,1,1,18,48,1,1,21
Oliver Abildgaard,257,13,1,1,99,401,6,1,116
Tammy Abraham,786,125,68,22,421,2154,62,31,621
Christian Acella,11,0,0,0,7,19,1,0,8
Francesco Acerbi,1890,27,12,7,1041,5108,13,7,1252
Yacine Adli,97,2,6,4,55,349,3,5,67
Michel Aebischer,791,28,13,6,505,1992,30,17,618
Felix Afena-Gyan,318,28,25,7,202,1160,34,21,217
Kevin Agudelo,1084,54,109,50,662,4963,59,55,699
Ola Aina,679,13,49,23,361,2268,15,8,390
Emanuel Aiwum,997,5,10,3,500,3147,6,5,521
Jean-Daniel Akpa-Akpro,630,24,55,31,325,1788,25,15,351
Luis Alberto,2217,43,41,19,1244,5632,33,31,1632
Agustín Álvarez Martínez,155,16,17,7,80,294,16,12,96
Kelvin Amian,1395,47,30,16,623,3822,25,18,720
Bruno Amione,20,0,0,0,7,22,0,0,4
Bruno Amione,1263,24,10,2,663,2805,20,1,691
Ethan Ampadu,1889,19,12,9,1007,5907,18,7,1090
Sofyan Amrabat,1641,6,17,12,1054,6108,20,16,1196
Felipe Anderson,1832,129,105,54,967,5271,85,44,1367
Janis Antiste,23,1,1,0,14,49,1,0,16
Marcos Antônio,493,1,5,4,296,1197,6,4,370
Valentin Antov,267,0,1,1,138,600,3,2,174
Marko Arnautović,618,57,27,13,361,1616,42,19,496
Tolgay Arslan,770,26,36,15,473,2944,26,17,504
Santiago Ascacíbar,553,4,9,4,254,976,8,4,314
Kristoffer Askildsen,351,8,6,3,131,665,13,3,176
Kristjan Asllani,507,2,5,2,331,1588,3,2,389
Emil Audero,982,0,0,0,548,2997,1,0,414
Tommaso Augello,1981,21,64,36,1042,5837,21,17,1167
Carlos Augusto,2073,71,61,33,1032,5925,45,28,1267
Kaan Ayhan,385,0,0,0,235,1168,0,1,264
Jaime Báez,62,2,2,1,34,197,1,0,34
Nedim Bajrami,457,27,31,11,267,1928,24,17,304
Nedim Bajrami,451,29,32,18,278,1652,20,9,295
Tiemoué Bakayoko,30,0,3,1,16,96,1,1,15
Tommaso Baldanzi,841,46,60,23,548,3500,33,15,600
Fodé Ballo-Touré,352,9,15,5,152,762,6,6,188
Lameck Banda,720,74,112,48,505,4583,67,36,509
Filippo Bandinelli,1333,29,42,15,746,3897,42,30,863
Antonín Barák,16,0,2,1,12,68,1,1,11
Antonín Barák,904,67,39,19,556,3364,34,28,649
Andrea Barberis,194,2,0,0,100,487,3,6,137
Tommaso Barbieri,78,2,3,1,40,275,5,0,50
Francesco Bardi,25,0,0,0,10,46,0,1,7
Nicolò Barella,1892,57,70,40,1253,7327,52,39,1426
Enzo Barrenechea,138,2,1,0,79,343,1,1,93
Musa Barrow,1064,46,71,24,667,4328,50,31,791
Federico Baschirotto,1823,36,5,3,849,4481,10,2,918
Toma Bašić,367,17,8,3,222,1064,13,6,250
Alberto Basso,3,1,0,0,2,27,0,1,3
Alessandro Bastoni,1857,30,15,8,1137,5797,13,6,1310
Simone Bastoni,749,24,20,7,341,1724,20,14,401
Brian Bayeye,64,3,2,2,23,139,3,2,29
Rodrigo Becão,1667,43,10,5,850,3682,16,2,948
Julius Beck,8,0,0,0,5,27,1,1,6
Raoul Bellanova,373,13,12,7,230,1762,4,5,246
Andrea Belotti,404,52,33,7,226,1235,34,15,322
Marco Benassi,112,3,1,0,81,284,1,1,85
Marco Benassi,461,17,9,8,225,1193,12,10,224
Ismaël Bennacer,1666,10,49,27,985,5133,42,23,1097
Domenico Berardi,1179,111,50,22,766,3818,60,23,905
Bartosz Bereszyński,759,13,15,4,329,1643,12,5,354
Bartosz Bereszyński,124,1,3,1,61,342,1,1,66
Marco Bertini,0,0,0,0,0,0,0,0,0
Beto,652,130,76,32,364,1825,114,43,475
Matteo Bianchetti,1169,13,3,2,552,2612,6,3,586
Alessandro Bianco,91,1,2,0,49,240,2,5,68
Jaka Bijol,1729,40,5,2,972,4732,10,4,1032
Cristiano Biraghi,2213,26,20,7,1011,4803,16,6,1214
Samuele Birindelli,957,30,20,11,509,3234,24,15,606
Kristijan Bistrović,168,3,1,1,83,378,3,5,99
Alexis Blin,1299,33,11,5,536,2330,34,15,665
Jeremie Boga,600,37,95,48,418,3673,31,11,489
Emil Bohinen,610,6,18,8,320,1702,10,9,355
Giacomo Bonaventura,1134,69,54,23,707,4208,23,29,804
Federico Bonazzoli,487,31,23,12,304,1138,42,12,378
Warren Bondo,60,0,4,3,45,315,1,1,51
Kevin Bonifazi,828,4,7,5,549,3188,9,5,613
Leonardo Bonucci,658,7,1,1,405,1630,3,1,460
Erik Botheim,300,23,7,2,166,647,19,12,230
Mehdi Bourabia,1639,21,64,28,810,3731,54,27,956
Edoardo Bove,532,20,13,5,263,1015,25,17,289
Jayden Braaf,129,16,24,15,89,694,13,15,91
Domagoj Bradarić,1352,22,50,17,706,4295,27,10,744
Josip Brekalo,127,8,10,6,82,823,7,6,98
Gleison Bremer,1994,50,7,3,1146,4727,18,8,1304
Dylan Bronn,1196,10,11,6,638,2651,7,2,759
Marcelo Brozović,1696,22,27,16,1085,5728,19,6,1218
Cristian Buonaiuto,652,49,47,20,395,2208,36,28,421
Alessandro Buongiorno,1938,33,16,6,986,4659,33,6,1180
Leonardo Buta,14,0,0,0,10,66,0,0,12
Arthur Cabral,489,102,35,15,270,1438,60,24,361
Liberato Cacace,525,12,20,8,242,1509,6,7,292
Davide Calabria,1474,16,14,3,755,3303,14,7,915
Mattia Caldara,791,17,5,2,380,1885,9,4,361
Luca Caldirola,1636,12,3,1,978,4803,5,1,1176
Hakan Çalhanoğlu,1942,26,24,8,1167,5515,32,12,1323
Mohamed Camara,393,8,13,7,233,1268,11,6,241
Nicolò Cambiaghi,638,56,57,22,442,3746,44,21,464
Andrea Cambiaso,1790,40,60,31,1030,5494,42,18,1148
Matteo Cancellieri,134,16,9,3,88,630,13,3,97
Antonio Candreva,1802,46,34,8,1093,5695,25,13,1298
Gianluca Caprari,1364,103,91,40,884,5535,79,32,1089
Francesco Caputo,309,49,9,3,181,696,21,14,243
Francesco Caputo,478,103,12,1,288,1218,45,24,395
Andrea Carboni,104,4,3,1,50,284,0,0,66
Franco Carboni,61,1,7,3,34,293,0,0,36
Valentin Carboni,25,1,2,1,16,182,2,1,15
Marco Carnesecchi,1036,0,0,0,568,2965,0,0,407
Nicolò Casale,1803,14,3,1,1102,6813,5,1,1246
Tommaso Cassandro,8,0,0,0,2,5,0,0,3
Michele Castagnetti,941,9,12,8,449,1871,15,3,551
Gaetano Castrovilli,324,22,16,7,176,1019,11,9,200
Danilo Cataldi,1487,0,18,6,752,2871,7,8,1044
Pietro Ceccaroni,22,1,0,0,7,30,0,0,7
Federico Ceccherini,780,15,3,2,368,1928,13,8,409
Assan Ceesay,642,71,36,22,304,1456,64,25,417
Emil Ceide,233,39,25,8,160,1103,15,8,182
Zeki Çelik,1102,18,16,6,522,2709,17,13,604
Michele Cerofolini,202,0,0,0,123,615,0,0,121
Federico Chiesa,476,49,45,24,293,2176,26,19,331
Vlad Chiricheș,554,2,4,3,250,1290,2,4,280
Daniel Ciofani,307,51,4,0,152,434,24,10,217
Tio Cipot,83,5,7,3,47,311,5,6,54
Patrick Ciurria,1604,51,54,18,877,5018,47,16,1062
Nicolò Cocetta,14,0,0,0,6,17,0,0,6
Omar Colley,860,9,2,2,511,2142,4,2,517
Lorenzo Colombo,588,74,37,11,307,1330,79,38,418
Andrea Colpani,538,31,41,20,371,2327,22,17,412
Andrea Consigli,1480,0,0,0,873,4354,1,0,761
Andrea Conti,11,0,0,0,4,10,0,1,6
Diego Coppola,693,9,4,2,312,1618,8,2,320
Alex Cordaz,21,0,0,0,13,42,0,0,11
Joaquín Correa,384,37,32,14,260,1515,29,16,301
Alessandro Cortinovis,8,0,0,0,5,10,0,0,5
Lassana Coulibaly,1540,17,93,48,917,5811,61,33,962
Alessio Cragno,32,0,0,0,19,101,0,0,17
Bryan Cristante,1994,39,13,9,1043,4607,25,11,1290
Domen Črnigoj,160,6,4,2,64,255,13,1,89
Juan Cuadrado,1581,50,59,25,914,4703,35,14,1057
Mickaël Cuisance,290,11,12,8,182,950,15,16,179
Marco D'Alessandro,141,10,5,1,80,713,4,5,89
Danilo D'Ambrosio,635,12,6,1,424,1843,7,2,467
Luca D'Andrea,129,12,12,4,81,535,11,7,91
Flavius Daniliuc,1374,16,5,2,727,3691,14,4,843
Danilo,2597,45,23,7,1380,6329,22,9,1685
Matteo Darmian,1564,23,25,9,914,3627,14,10,1087
Juan David Cabal,279,1,4,3,139,642,4,3,141
Paweł Dawidowicz,1019,17,8,1,463,2270,8,4,498
Charles De Ketelaere,533,60,59,36,313,2178,25,30,351
Manuel De Luca,14,2,0,0,14,52,2,2,14
Tommaso De Nipoti,6,1,1,1,3,24,0,0,3
Mattia De Sciglio,652,4,9,2,343,1610,8,7,406
Lorenzo De Silvestri,484,7,4,2,261,1371,6,5,289
Koni De Winter,614,0,2,1,347,1854,8,3,370
Grégoire Defrel,362,34,21,7,216,1003,28,17,254
Duccio Degl'Innocenti,1,0,0,0,1,10,0,0,0
Merih Demiral,832,14,9,2,348,1662,6,2,374
Diego Demme,205,0,4,2,143,612,3,1,183
Fabio Depaoli,953,35,46,11,408,1989,38,18,422
Fabio Depaoli,117,3,7,3,73,347,2,1,70
Kastriot Dermaku,2,0,0,0,0,0,0,0,0
Cyriel Dessers,466,115,36,13,268,1302,61,21,340
Sergiño Dest,246,3,18,8,134,827,3,5,137
Mattia Destro,139,26,8,4,79,286,14,5,102
Gerard Deulofeu,725,82,45,20,455,3177,22,18,506
Samuel Di Carmine,9,2,1,1,6,31,0,0,6
Federico Di Francesco,745,82,49,17,447,2745,56,28,500
Michele Di Gregorio,1607,0,2,2,973,5309,1,1,841
Giovanni Di Lorenzo,2957,94,33,12,1842,7948,21,17,2119
Ángel Di María,851,46,80,32,552,3838,32,26,640
Boulaye Dia,885,75,88,35,610,4033,71,61,673
Brahim Díaz,990,65,86,39,691,4623,74,48,763
Federico Dimarco,1451,72,20,5,776,3457,18,11,955
Koffi Djidji,1678,8,5,4,919,3316,7,6,1123
Berat Djimsiti,1294,15,7,4,700,3099,10,5,817
Dodô,1719,24,62,34,1028,6650,35,15,1083
Josh Doig,705,27,54,23,336,2325,33,16,360
Nicolás Domínguez,1703,37,37,23,908,3910,50,21,1170
Giulio Donati,349,1,3,1,219,1022,3,1,259
Bartłomiej Drągowski,1265,0,0,0,757,4042,0,0,646
Ondrej Duda,573,11,34,20,311,1850,14,17,302
Denzel Dumfries,1263,99,52,18,674,3940,39,20,785
Alfred Duncan,634,9,23,12,348,1705,17,14,434
Paulo Dybala,1089,78,64,27,689,4141,62,32,785
Edin Džeko,749,113,26,8,400,2047,48,16,587
Festy Ebosele,233,13,36,19,129,1242,17,9,125
Enzo Ebosse,667,0,7,4,338,1593,8,3,383
Tyronne Ebuehi,1089,28,26,11,558,2977,16,14,604
Éderson,1455,46,66,37,842,4133,48,30,964
Kingsley Ehizibue,779,31,43,14,400,2323,20,11,407
Albin Ekdal,999,34,19,12,496,2381,32,17,566
Emmanuel Ekong,6,0,1,0,3,56,0,0,3
Mikael Ellertsson,60,0,3,1,21,209,2,2,25
Elif Elmas,1196,47,52,23,753,3972,33,22,961
Martin Erlic,1562,10,2,1,912,4147,13,1,964
Gonzalo Escalante,352,7,5,1,174,660,7,7,226
Salvatore Esposito,737,7,14,6,354,1296,10,4,466
Nicolò Fagioli,749,15,19,8,471,2225,33,28,536
Wladimiro Falcone,1272,0,0,0,660,4252,1,0,432
Davide Faraoni,770,27,16,7,322,1217,12,4,341
Federico Fazio,679,17,8,4,347,1507,11,5,358
Jacopo Fazzini,476,15,31,13,255,1355,23,24,292
Lewis Ferguson,1472,69,25,9,830,3488,33,16,1129
Alex Ferrari,560,5,6,3,304,1591,10,3,308
Alex Ferrari,604,1,8,4,286,1217,8,1,274
Salvador Ferrer,113,0,0,0,55,211,2,1,71
Vincenzo Fiorillo,25,0,0,0,16,86,0,0,13
Alessandro Florenzi,195,10,1,0,103,340,3,0,113
Davide Frattesi,1417,109,74,34,809,4866,56,44,993
Matteo Gabbia,427,1,0,0,187,827,1,0,248
Manolo Gabbiadini,885,83,25,6,535,2482,52,30,683
Gianluca Gaetano,79,8,3,2,53,240,2,4,64
Roberto Gagliardini,454,24,5,0,244,1435,9,2,315
Adolfo Gaich,263,26,17,11,144,637,22,9,198
Pablo Galdames Millán,389,6,10,2,192,721,12,5,229
Antonino Gallo,1509,14,29,15,683,4301,22,7,706
Federico Gatti,1116,23,11,8,721,3952,8,6,806
Valentin Gendrey,1811,16,35,14,757,4118,48,12,787
Paolo Ghiglione,359,9,11,2,153,736,6,4,178
Mario Gila,71,0,0,0,42,247,1,1,46
Gvidas Gineitis,102,3,3,1,58,255,1,1,75
Olivier Giroud,801,158,14,7,350,934,63,16,611
Pierluigi Gollini,131,0,0,0,104,423,0,0,91
Pierluigi Gollini,166,0,0,0,111,517,0,0,96
Joan Gonzàlez,1080,37,49,18,536,2563,50,25,626
Nicolás González,811,73,73,25,506,3201,45,14,623
Robin Gosens,813,48,17,7,417,1753,17,3,525
Alberto Grassi,734,13,8,4,302,1330,18,12,398
Andrew Gravillon,212,0,2,1,112,428,3,1,131
Axel Guessand,32,0,0,0,13,41,1,0,20
Koray Günter,557,10,4,3,221,1219,3,1,230
Koray Günter,509,7,1,1,247,1070,3,0,285
Emmanuel Gyasi,1103,92,39,7,627,3276,72,42,746
Norbert Gyömbér,955,9,3,2,444,2200,2,1,481
Christian Gytkjær,161,27,5,3,84,274,17,5,119
Nicolas Haas,554,16,6,1,263,946,17,9,336
Samir Handanović,611,0,0,0,383,2049,1,0,405
Abdou Harroui,395,15,15,11,228,1379,12,13,279
Hans Hateboer,823,29,9,4,398,1804,8,7,505
Liam Henderson,622,14,5,0,368,1669,11,6,440
Jack Hendry,148,0,1,0,94,571,0,0,90
Matheus Henrique,1025,31,53,34,696,3965,28,16,766
Thomas Henry,374,48,14,3,193,618,52,25,303
Theo Hernández,2078,69,68,19,1173,7669,46,19,1280
Isak Hien,1349,13,31,16,606,2735,26,10,576
Morten Hjulmand,1665,6,26,17,750,3378,29,19,791
Emil Holm,804,40,44,18,338,2509,47,22,430
Martin Hongla,258,3,14,8,131,680,4,3,141
Petko Hristov,251,3,3,0,112,510,3,0,133
Ajdin Hrustic,121,6,12,4,63,414,8,3,77
Elseid Hysaj,1589,10,21,6,822,3533,19,13,1019
Rasmus Højlund,700,133,75,28,455,2524,94,56,570
Roger Ibanez,2013,33,22,13,1216,6677,25,18,1272
Zlatan Ibrahimović,72,7,3,0,38,145,5,2,55
Antonio Iervolino,8,0,0,0,7,17,0,0,6
Igor,1522,12,13,9,901,5350,9,11,973
Jonathan Ikone,921,109,90,48,654,5072,61,47,714
Ivan Ilić,489,11,17,8,219,1427,17,5,238
Ivan Ilić,930,8,15,7,518,3188,19,5,666
Samuel Iling-Junior,175,10,14,5,99,738,9,4,114
Emirhan İlkhan,58,0,2,1,39,240,2,2,38
Emirhan İlkhan,90,1,3,1,50,216,5,0,58
Ciro Immobile,868,159,43,18,503,2914,63,22,695
Ardian Ismajli,1301,18,2,2,694,3506,3,2,762
Mihailo Ivanović,0,0,0,0,0,0,0,0,0
Armando Izzo,1890,28,22,11,1041,4854,11,8,1280
Mato Jajalo,36,1,2,1,17,67,1,0,22
Jesé,92,6,5,3,49,313,5,3,60
Juan Jesus,834,7,0,0,532,3282,5,1,575
Þórir Jóhann Helgason,96,3,1,0,41,181,4,2,50
Luka Jović,437,79,22,15,214,1023,25,16,326
Hamed Junior Traorè,308,24,15,4,194,1312,16,23,226
Yayah Kallon,356,43,30,8,233,1764,28,15,237
Pierre Kalulu,2099,18,18,10,1284,7528,25,5,1410
Yann Karamoh,347,35,57,26,221,1493,33,13,257
Rick Karsdorp,444,9,6,0,236,1148,11,6,260
Denso Kasius,243,3,10,6,127,728,11,7,144
Grigoris Kastanos,770,25,34,13,458,2257,16,19,508
Moise Kean,333,57,41,14,220,1487,29,29,252
Jakub Kiwior,953,15,7,5,464,2749,8,5,498
Simon Kjær,761,2,0,0,458,1956,1,0,535
Teun Koopmeiners,2056,63,54,28,1136,5759,48,32,1396
Filip Kostić,1488,62,52,23,809,4882,50,20,943
Christian Kouamé,942,111,66,21,564,2844,80,42,703
Viktor Kovalenko,309,19,5,4,158,684,9,2,191
Julian Kristoffersen,4,0,0,0,1,2,1,0,2
Raimonds Krollis,16,2,1,0,8,54,1,1,11
Rade Krunić,1115,24,26,19,659,3562,10,8,728
Marash Kumbulla,204,2,0,0,136,615,2,0,155
Khvicha Kvaratskhelia,1548,175,199,75,1054,6935,63,48,1221
Giorgos Kyriakopoulos,490,9,17,11,293,1735,13,8,331
Giorgos Kyriakopoulos,505,16,31,14,312,1875,14,18,333
Sam Lammers,409,44,29,16,260,1113,53,18,335
Sam Lammers,358,49,23,10,193,1064,37,14,268
Kevin Lasagna,482,67,38,13,267,1736,53,34,317
Armand Lauriente,1100,106,140,64,762,6095,56,53,816
Valentino Lazaro,1017,23,35,16,496,2428,16,4,607
Marko Lazetić,4,1,0,0,2,5,1,2,3
Darko Lazović,1052,67,54,19,542,3366,38,14,620
Manuel Lazzari,1380,27,41,18,789,5925,25,3,921
Rafael Leão,1195,144,171,77,804,7464,69,38,924
Mehdi Léris,1296,78,69,29,742,3782,80,48,874
Karol Linetty,1175,21,22,7,625,3132,27,11,767
Marcin Listkowski,34,1,0,0,17,157,1,1,20
Diego Llorente,355,8,2,1,220,1045,2,1,238
Stanislav Lobotka,2536,14,27,18,1628,7751,25,16,1950
Manuel Locatelli,1671,20,27,15,804,3203,29,19,1083
Luka Lochoshvili,1019,9,9,6,544,2851,11,5,589
Ademola Lookman,867,111,80,34,572,3472,47,46,675
Maxime Lopez,1855,14,27,11,1214,6585,17,12,1407
Matteo Lovato,411,0,0,0,210,794,5,3,227
Sandi Lovrić,1272,55,38,14,734,3806,51,22,818
Hirving Lozano,811,77,78,38,570,4050,39,13,607
Jhon Lucumí,2258,16,6,4,1409,7653,19,6,1537
José Luis Palomino,607,9,3,2,308,1514,3,3,339
Romelu Lukaku,575,100,29,15,328,1767,47,28,482
Saša Lukić,850,23,7,1,448,2360,17,8,556
Sebastiano Luperto,2057,23,2,2,1125,5044,6,3,1191
Charalambos Lykogiannis,855,5,11,4,466,2045,10,1,544
Giulio Maggiore,580,8,4,1,300,1117,18,4,365
Giangiacomo Magnani,683,7,5,3,316,1386,6,3,307
Mike Maignan,853,0,0,0,618,3323,0,0,525
Jordan Majchrzak,4,0,0,0,3,4,0,0,4
Jean-Victor Makengo,393,6,15,11,259,1518,15,11,290
Lorenzo Malagrida,51,5,2,2,22,106,0,1,34
Daniel Maldini,289,15,46,23,158,978,24,8,183
Youssef Maleh,150,11,3,1,93,321,6,6,96
Youssef Maleh,296,15,8,2,143,561,9,10,167
Ruslan Malinovskyi,425,8,21,9,279,1481,21,9,303
Gianluca Mancini,1865,30,14,6,1124,5050,16,7,1324
Rolando Mandragora,1190,37,16,5,598,2489,13,8,720
Federico Marchetti,18,0,0,0,7,23,0,0,6
Riccardo Marchizza,205,1,5,1,129,563,2,3,135
Gian Marco Ferrari,1476,14,2,0,858,4530,10,2,938
Pablo Marí,1874,15,4,2,1049,5335,10,5,1273
Răzvan Marin,1805,16,39,22,1051,5460,24,22,1164
Marlon,1182,11,5,2,683,3472,6,1,851
Luca Marrone,93,1,0,0,59,215,0,0,64
Lautaro Martínez,1085,171,72,29,619,2854,75,48,793
Lucas Martínez Quarta,1835,35,16,12,1088,6689,11,6,1131
Adam Marušić,2049,17,15,10,1065,4702,13,13,1334
Adam Masina,496,6,4,3,297,1477,4,1,307
Nemanja Matić,1475,25,33,24,913,5440,22,19,1006
Luís Maximiano,4,0,0,0,3,4,0,0,3
Pasquale Mazzocchi,1196,36,103,58,654,4495,54,34,680
Weston McKennie,526,22,9,7,231,1171,20,12,349
Gary Medel,1226,0,6,4,643,2305,6,4,803
Soualiho Meïté,1282,13,60,28,719,3526,30,30,811
Alex Meret,974,0,0,0,544,2256,0,0,476
Yıldırım Mert Çetin,8,0,0,0,3,12,2,0,2
Junior Messias,765,54,68,34,466,3060,32,14,530
Tommaso Milanese,19,2,2,1,13,71,3,1,14
Nikola Milenković,1520,35,0,0,816,3547,7,0,902
Arkadiusz Milik,623,75,22,11,343,1317,50,16,483
Sergej Milinković-Savić,2411,87,80,39,1406,5856,106,66,1926
Vanja Milinković-Savić,1882,1,0,0,1187,7724,2,1,1000
