,player,country_of_origin,team,league,position,age_category
1071,Omar Mascarell,ESP,Elche,La Liga,Midfield,middle_age
1072,Loren Morón,ESP,Betis,La Liga,Forward,middle_age
1073,Giovanni González,URU,Mallorca,La Liga,Defence,middle_age
1074,Jon Morcillo,ESP,Athletic Club,La Liga,Forward,young
1075,Álex Centelles,ESP,Almería,La Liga,Defence,young
1076,Reinildo Mandava,MOZ,Atlético Madrid,La Liga,Defence,middle_age
1077,Mouctar Diakhaby,GUI,Valencia,La Liga,Defence,young
1078,Luiz Henrique,BRA,Betis,La Liga,Forward,young
1079,Sergio Escudero,ESP,Valladolid,La Liga,Defence,seniors
1080,Antonio Raillo,ESP,Mallorca,La Liga,Defence,middle_age
1081,Dennis Hadzikadunic,BIH,Mallorca,La Liga,Defence,young
1082,Luis Milla,ESP,Getafe,La Liga,Midfield,middle_age
1083,Gonçalo Paciência,POR,Celta Vigo,La Liga,Forward,middle_age
1084,Darko Brašanac,SRB,Osasuna,La Liga,Midfield,middle_age
1085,Rubén Alcaraz,ESP,Cádiz,La Liga,Midfield,middle_age
1086,Alexander Callens,PER,Girona,La Liga,Defence,middle_age
1087,Rubén Peña,ESP,Osasuna,La Liga,Defence,middle_age
1088,Alejandro Pozo Pozo,ESP,Almería,La Liga,Defence,young
1089,Fede San Emeterio,ESP,Cádiz,La Liga,Midfield,young
1090,Roberto Torres,ESP,Osasuna,La Liga,Forward,seniors
1091,Martin Valjent,SVK,Mallorca,La Liga,Defence,middle_age
1092,Álvaro Fernández,ESP,Espanyol,La Liga,Goalkeeper,young
1093,Rubén Sobrino,ESP,Cádiz,La Liga,Midfield,middle_age
1094,Unai García,ESP,Osasuna,La Liga,Defence,middle_age
1095,César Montes,MEX,Espanyol,La Liga,Defence,young
1096,Álex Moreno,ESP,Betis,La Liga,Defence,middle_age
1097,Álex Moreno,ESP,Betis,La Liga,Defence,middle_age
1098,Álex Moreno,ESP,Betis,La Liga,Defence,middle_age
1099,Álex Moreno,ESP,Betis,La Liga,Defence,middle_age
1100,Álex Moreno,ESP,Aston Villa,Premier League,Defence,middle_age
1101,Álex Moreno,ESP,Aston Villa,Premier League,Defence,middle_age
1102,Álex Moreno,ESP,Aston Villa,Premier League,Defence,middle_age
1103,Álex Moreno,ESP,Aston Villa,Premier League,Defence,middle_age
1104,Jawad El Yamiq,MAR,Valladolid,La Liga,Defence,middle_age
1105,Javi Sánchez,ESP,Valladolid,La Liga,Defence,young
1106,Iñigo Ruiz de Galarreta,ESP,Mallorca,La Liga,Midfield,middle_age
1107,Stole Dimitrievski,MKD,Rayo Vallecano,La Liga,Goalkeeper,middle_age
1108,Juan Pérez,ESP,Osasuna,La Liga,Goalkeeper,middle_age
1109,Franco Russo,ARG,Mallorca,La Liga,Defence,middle_age
1110,Édgar Badía,ESP,Elche,La Liga,Goalkeeper,middle_age
1111,Ander Barrenetxea,ESP,Real Sociedad,La Liga,Defence,young
1112,Kiké,ESP,Osasuna,La Liga,Forward,seniors
1113,Ante Budimir,CRO,Osasuna,La Liga,Forward,middle_age
1114,Carles Aleñá,ESP,Getafe,La Liga,Midfield,young
1115,David García,ESP,Osasuna,La Liga,Defence,middle_age
1116,Juan Cruz Armada,ESP,Osasuna,La Liga,Defence,middle_age
1117,Fidel,ESP,Elche,La Liga,Midfield,seniors
1118,Damián Suárez,URU,Getafe,La Liga,Defence,seniors
1119,Íñigo Eguaras,ESP,Almería,La Liga,Midfield,middle_age
1120,Anthony Lozano,HON,Cádiz,La Liga,Forward,middle_age
1121,Aridane Hernández,ESP,Osasuna,La Liga,Defence,seniors
1122,Mickael Malsa,MTQ,Valladolid,La Liga,Midfield,middle_age
1123,Filip Jørgensen,DEN,Villarreal,La Liga,Goalkeeper,young
1124,Oihan Sancet,ESP,Athletic Club,La Liga,Midfield,young
1125,Fabrizio Angileri,ARG,Getafe,La Liga,Defence,middle_age
1126,Léo Baptistão,BRA,Almería,La Liga,Forward,middle_age
1127,Rodrigo Ely,BRA,Almería,La Liga,Defence,middle_age
1128,Reinier,BRA,Girona,La Liga,Midfield,young
1129,Domingos André Ribeiro Almeida,POR,Valencia,La Liga,Midfield,young
1130,Nicolás González,ESP,Valencia,La Liga,Midfield,young
