Player,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls_90,Ast_90,G+A_90,G-PK_90,G+A-PK_90,xG_90,xAG_90,xG+xAG_90,npxG_90,npxG+xAG_90
Pascal Klemens,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Lukas Klostermann,15,10,907,10.1,0,0,0,0,0,0,0,0,0.3,0.3,0.1,0.5,5,40,12,0,0,0,0,0,0.03,0.01,0.05,0.03,0.05
Ansgar Knauff,24,14,1286,14.3,1,1,2,1,0,0,1,0,0.9,0.9,1.6,2.5,47,40,74,0.07,0.07,0.14,0.07,0.14,0.06,0.12,0.18,0.06,0.18
Robin Knoche,32,32,2873,31.9,2,3,5,1,1,2,4,0,2.4,0.8,0.8,1.6,12,98,6,0.06,0.09,0.16,0.03,0.13,0.07,0.03,0.1,0.03,0.05
Gregor Kobel,27,27,2430,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dominik Kohr,30,27,2292,25.5,3,0,3,3,0,0,11,0,2.3,2.3,1,3.3,17,144,39,0.12,0,0.12,0.12,0.12,0.09,0.04,0.13,0.09,0.13
Randal Kolo Muani,32,31,2631,29.2,15,11,26,13,2,2,6,1,13.2,11.6,6.5,18.1,97,61,240,0.51,0.38,0.89,0.44,0.82,0.45,0.22,0.67,0.4,0.62
Timothée Kolodziejczak,1,0,25,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Manu Koné,30,30,2608,29,1,1,2,1,0,0,12,0,1.2,1.2,1.3,2.5,59,166,55,0.03,0.03,0.07,0.03,0.07,0.04,0.05,0.09,0.04,0.09
Odilon Kossonou,24,17,1523,16.9,0,1,1,0,0,0,3,0,0.2,0.2,0.1,0.3,26,77,16,0,0.06,0.06,0,0.06,0.01,0.01,0.02,0.01,0.02
Filip Kostić,1,1,74,0.8,0,0,0,0,0,0,1,0,0,0,0.1,0.1,3,4,3,0,0,0,0,0,0.03,0.08,0.11,0.03,0.11
Tomáš Koubek,11,11,990,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Soichiro Kozuki,5,5,379,4.2,1,0,1,1,0,0,1,0,1.1,1.1,0.3,1.4,15,10,37,0.24,0,0.24,0.24,0.24,0.26,0.08,0.33,0.26,0.33
Alex Král,29,26,2357,26.2,0,0,0,0,0,0,3,0,1.5,1.5,0.7,2.2,41,100,70,0,0,0,0,0,0.06,0.03,0.08,0.06,0.08
Andrej Kramarić,32,26,2386,26.5,12,4,16,8,4,6,3,0,13.2,8.5,2.2,10.7,49,100,191,0.45,0.15,0.6,0.3,0.45,0.5,0.08,0.58,0.32,0.4
Christoph Kramer,29,27,2222,24.7,0,0,0,0,0,0,4,0,0.4,0.4,2,2.4,26,79,60,0,0,0,0,0,0.01,0.08,0.1,0.01,0.1
Tom Krauß,32,31,2514,27.9,2,0,2,2,0,0,8,0,2.2,2.2,0.9,3.1,35,86,38,0.07,0,0.07,0.07,0.07,0.08,0.03,0.11,0.08,0.11
Max Kruse,5,2,272,3,0,0,0,0,0,0,0,0,0.7,0.7,0.1,0.9,4,7,30,0,0,0,0,0,0.25,0.05,0.29,0.25,0.29
Lukas Kübler,22,19,1639,18.2,2,1,3,2,0,0,1,0,0.9,0.9,0.4,1.3,11,57,50,0.11,0.05,0.16,0.11,0.16,0.05,0.02,0.07,0.05,0.07
Pierre Kunde,12,3,377,4.2,1,0,1,1,0,0,0,0,0.3,0.3,0.2,0.5,6,16,1,0.24,0,0.24,0.24,0.24,0.08,0.05,0.13,0.08,0.13
Alou Kuol,1,0,5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Daniel Kyereh,12,7,559,6.2,2,0,2,2,0,0,2,0,2.2,2.2,0.3,2.5,5,11,24,0.32,0,0.32,0.32,0.32,0.36,0.04,0.4,0.36,0.4
Maxence Lacroix,24,18,1627,18.1,1,0,1,1,0,0,1,0,0.5,0.5,0.1,0.6,15,83,4,0.06,0,0.06,0.06,0.06,0.03,0.01,0.04,0.03,0.04
Aïssa Laïdouni,14,11,871,9.7,2,0,2,2,0,0,4,0,0.8,0.8,0.9,1.7,10,40,25,0.21,0,0.21,0.21,0.21,0.09,0.09,0.18,0.09,0.18
Konrad Laimer,21,17,1468,16.3,3,0,3,3,0,0,8,0,2.4,2.4,2.3,4.7,51,93,52,0.18,0,0.18,0.18,0.18,0.15,0.14,0.29,0.15,0.29
Stefan Lainer,17,9,817,9.1,0,0,0,0,0,0,2,0,0.8,0.8,1.2,2,23,45,39,0,0,0,0,0,0.09,0.13,0.22,0.09,0.22
Vassilis Lambropoulos,15,7,627,7,0,0,0,0,0,0,2,0,0.4,0.4,0.2,0.6,1,26,0,0,0,0,0,0,0.06,0.03,0.09,0.06,0.09
Jordan Larsson,11,5,463,5.1,0,0,0,0,0,0,0,0,1.2,1.2,0.4,1.7,5,12,29,0,0,0,0,0,0.24,0.09,0.32,0.24,0.32
